mese,categoria,giorni_con_dati,giorni_nel_mese
2021-01,IC,31,31
2021-01,INV,24,31
2021-01,IR,4,31
2021-01,MET,31,31
2021-01,REG,31,31
2021-02,,24,24
2021-02,EC,24,24
2021-02,IC,24,24
2021-02,ICN,21,24
2021-02,INV,15,24
2021-02,IR,3,24
2021-02,MET,24,24
2021-02,REG,24,24
2021-03,,30,30
2021-03,EC,30,30
2021-03,EN,1,30
2021-03,EXP,1,30
2021-03,IC,30,30
2021-03,ICN,30,30
2021-03,INV,16,30
2021-03,IR,2,30
2021-03,MET,30,30
2021-03,REG,30,30
2021-04,,30,30
2021-04,DIR,1,30
2021-04,EC,30,30
2021-04,EXP,2,30
2021-04,IC,30,30
2021-04,ICN,30,30
2021-04,INV,13,30
2021-04,IR,3,30
2021-04,MET,30,30
2021-04,REG,30,30
2021-05,,31,31
2021-05,EC,31,31
2021-05,EN,7,31
2021-05,EXP,3,31
2021-05,IC,31,31
2021-05,ICN,31,31
2021-05,INV,16,31
2021-05,IR,4,31
2021-05,MET,31,31
2021-05,REG,31,31
2021-06,,30,30
2021-06,EC,30,30
2021-06,EN,30,30
2021-06,EXP,2,30
2021-06,IC,30,30
2021-06,ICN,30,30
2021-06,INV,26,30
2021-06,IR,8,30
2021-06,MET,30,30
2021-06,REG,30,30
2021-07,,31,31
2021-07,CP,1,31
2021-07,DIR,1,31
2021-07,EC,31,31
2021-07,EN,31,31
2021-07,EXP,5,31
2021-07,IC,31,31
2021-07,ICN,31,31
2021-07,INV,19,31
2021-07,IR,10,31
2021-07,MET,31,31
2021-07,REG,31,31
2021-08,,31,31
2021-08,EC,31,31
2021-08,EN,31,31
2021-08,EXP,2,31
2021-08,IC,31,31
2021-08,ICN,31,31
2021-08,INV,16,31
2021-08,IR,7,31
2021-08,MET,31,31
2021-08,REG,31,31
2021-09,,30,30
2021-09,EC,30,30
2021-09,EN,30,30
2021-09,EXP,5,30
2021-09,IC,30,30
2021-09,ICN,30,30
2021-09,INV,19,30
2021-09,IR,6,30
2021-09,MET,30,30
2021-09,REG,30,30
2021-10,,31,31
2021-10,EC,31,31
2021-10,EN,31,31
2021-10,EXP,8,31
2021-10,IC,31,31
2021-10,ICN,31,31
2021-10,INV,19,31
2021-10,IR,9,31
2021-10,MET,31,31
2021-10,REG,31,31
2021-11,,30,30
2021-11,EC,30,30
2021-11,EN,28,30
2021-11,EXP,2,30
2021-11,IC,30,30
2021-11,ICN,28,30
2021-11,INV,1,30
2021-11,IR,2,30
2021-11,MET,30,30
2021-11,NCL,12,30
2021-11,REG,30,30
2021-12,,31,31
2021-12,EC,31,31
2021-12,EN,31,31
2021-12,IC,31,31
2021-12,ICN,31,31
2021-12,IR,2,31
2021-12,MET,31,31
2021-12,NCL,12,31
2021-12,REG,31,31
2022-01,,31,31
2022-01,EC,31,31
2022-01,EN,31,31
2022-01,IC,31,31
2022-01,ICN,31,31
2022-01,IR,10,31
2022-01,MET,31,31
2022-01,NCL,3,31
2022-01,REG,31,31
2022-02,,27,27
2022-02,DIR,1,27
2022-02,EC,26,27
2022-02,EN,25,27
2022-02,IC,26,27
2022-02,ICN,26,27
2022-02,IR,3,27
2022-02,MET,26,27
2022-02,NCL,6,27
2022-02,REG,27,27
2022-03,,30,30
2022-03,EC,30,30
2022-03,EN,29,30
2022-03,EXP,5,30
2022-03,IC,30,30
2022-03,ICN,30,30
2022-03,IR,2,30
2022-03,MET,30,30
2022-03,NCL,5,30
2022-03,REG,30,30
2022-04,,30,30
2022-04,DIR,1,30
2022-04,EC,30,30
2022-04,EN,30,30
2022-04,EXP,6,30
2022-04,IC,30,30
2022-04,ICN,30,30
2022-04,IR,4,30
2022-04,MET,30,30
2022-04,NCL,3,30
2022-04,REG,30,30
2022-05,,31,31
2022-05,EC,31,31
2022-05,EN,28,31
2022-05,EXP,6,31
2022-05,IC,31,31
2022-05,ICN,31,31
2022-05,IR,3,31
2022-05,MET,31,31
2022-05,NCL,21,31
2022-05,REG,31,31
2022-06,,30,30
2022-06,DIR,1,30
2022-06,EC,30,30
2022-06,EN,30,30
2022-06,EXP,9,30
2022-06,IC,30,30
2022-06,ICN,30,30
2022-06,IR,2,30
2022-06,MET,30,30
2022-06,NCL,16,30
2022-06,REG,30,30
2022-07,,31,31
2022-07,DIR,1,31
2022-07,EC,31,31
2022-07,EXP,8,31
2022-07,IC,31,31
2022-07,ICN,31,31
2022-07,IR,8,31
2022-07,MET,31,31
2022-07,NCL,15,31
2022-07,REG,31,31
2022-08,,31,31
2022-08,EC,31,31
2022-08,EN,31,31
2022-08,EXP,3,31
2022-08,IC,31,31
2022-08,ICN,31,31
2022-08,IR,6,31
2022-08,MET,31,31
2022-08,NCL,3,31
2022-08,REG,31,31
2022-09,,30,30
2022-09,EC,30,30
2022-09,EN,30,30
2022-09,EXP,7,30
2022-09,IC,30,30
2022-09,ICN,30,30
2022-09,IR,3,30
2022-09,MET,30,30
2022-09,NCL,14,30
2022-09,REG,30,30
2022-10,,31,31
2022-10,EC,31,31
2022-10,EN,31,31
2022-10,EXP,7,31
2022-10,IC,31,31
2022-10,ICN,31,31
2022-10,IR,1,31
2022-10,MET,31,31
2022-10,NCL,10,31
2022-10,REG,31,31
2022-11,,30,30
2022-11,EC,30,30
2022-11,EN,28,30
2022-11,EXP,4,30
2022-11,IC,30,30
2022-11,ICN,30,30
2022-11,IR,3,30
2022-11,MET,30,30
2022-11,NCL,6,30
2022-11,REG,30,30
2022-12,,31,31
2022-12,EC,31,31
2022-12,EN,31,31
2022-12,EXP,2,31
2022-12,IC,31,31
2022-12,ICN,31,31
2022-12,INV,1,31
2022-12,MET,31,31
2022-12,NCL,3,31
2022-12,REG,31,31
2023-01,,31,31
2023-01,EC,31,31
2023-01,EN,31,31
2023-01,IC,31,31
2023-01,ICN,31,31
2023-01,IR,4,31
2023-01,MET,31,31
2023-01,NCL,3,31
2023-01,REG,31,31
2023-02,,28,28
2023-02,DIR,1,28
2023-02,EC,28,28
2023-02,EN,27,28
2023-02,IC,28,28
2023-02,ICN,28,28
2023-02,MET,28,28
2023-02,NCL,12,28
2023-02,REG,28,28
2023-03,,31,31
2023-03,EC,31,31
2023-03,EN,31,31
2023-03,EXP,4,31
2023-03,IC,31,31
2023-03,ICN,31,31
2023-03,IR,1,31
2023-03,MET,31,31
2023-03,NCL,11,31
2023-03,REG,31,31
2023-04,,30,30
2023-04,DIR,1,30
2023-04,EC,30,30
2023-04,EN,30,30
2023-04,EXP,10,30
2023-04,IC,30,30
2023-04,ICN,30,30
2023-04,IR,3,30
2023-04,MET,30,30
2023-04,NCL,14,30
2023-04,REG,30,30
2023-05,,31,31
2023-05,EC,31,31
2023-05,EN,31,31
2023-05,EXP,9,31
2023-05,IC,31,31
2023-05,ICN,31,31
2023-05,IR,2,31
2023-05,MET,31,31
2023-05,NCL,10,31
2023-05,REG,31,31
2023-06,,30,30
2023-06,EC,29,30
2023-06,EN,28,30
2023-06,EXP,8,30
2023-06,IC,30,30
2023-06,ICN,30,30
2023-06,IR,6,30
2023-06,MET,30,30
2023-06,NCL,21,30
2023-06,REG,30,30
2023-07,,31,31
2023-07,DIR,1,31
2023-07,EC,31,31
2023-07,EN,31,31
2023-07,EXP,9,31
2023-07,IC,31,31
2023-07,ICN,31,31
2023-07,IR,2,31
2023-07,MET,31,31
2023-07,NCL,8,31
2023-07,REG,31,31
2023-08,,31,31
2023-08,EC,31,31
2023-08,EN,31,31
2023-08,EXP,7,31
2023-08,IC,31,31
2023-08,ICN,31,31
2023-08,IR,1,31
2023-08,MET,31,31
2023-08,NCL,9,31
2023-08,REG,31,31
2023-09,,30,30
2023-09,EC,30,30
2023-09,EN,30,30
2023-09,EXP,11,30
2023-09,IC,30,30
2023-09,ICN,30,30
2023-09,MET,30,30
2023-09,NCL,13,30
2023-09,REG,30,30
2023-10,,31,31
2023-10,DIR,1,31
2023-10,EC,31,31
2023-10,EN,31,31
2023-10,EXP,10,31
2023-10,IC,31,31
2023-10,ICN,31,31
2023-10,IR,2,31
2023-10,MET,31,31
2023-10,NCL,16,31
2023-10,REG,31,31
2023-11,,30,30
2023-11,EC,30,30
2023-11,EN,30,30
2023-11,EXP,8,30
2023-11,IC,30,30
2023-11,ICN,30,30
2023-11,IR,1,30
2023-11,MET,30,30
2023-11,NCL,9,30
2023-11,REG,30,30
2023-12,,31,31
2023-12,DIR,1,31
2023-12,EC,31,31
2023-12,EN,31,31
2023-12,EXP,8,31
2023-12,IC,31,31
2023-12,ICN,31,31
2023-12,IR,2,31
2023-12,MET,31,31
2023-12,NCL,6,31
2023-12,REG,31,31
2024-01,,31,31
2024-01,DIR,1,31
2024-01,EC,31,31
2024-01,EN,31,31
2024-01,EXP,10,31
2024-01,IC,31,31
2024-01,ICN,31,31
2024-01,IR,3,31
2024-01,MET,31,31
2024-01,NCL,13,31
2024-01,REG,31,31
2024-02,,29,29
2024-02,EC,29,29
2024-02,EN,28,29
2024-02,EXP,9,29
2024-02,IC,29,29
2024-02,ICN,29,29
2024-02,IR,2,29
2024-02,MET,29,29
2024-02,NCL,12,29
2024-02,REG,29,29
2024-03,,31,31
2024-03,EC,31,31
2024-03,EN,31,31
2024-03,EXP,9,31
2024-03,IC,31,31
2024-03,ICN,31,31
2024-03,IR,5,31
2024-03,MET,31,31
2024-03,NCL,15,31
2024-03,REG,31,31
2024-04,,30,30
2024-04,EC,30,30
2024-04,EN,30,30
2024-04,EXP,9,30
2024-04,IC,30,30
2024-04,ICN,30,30
2024-04,IR,3,30
2024-04,MET,30,30
2024-04,NCL,10,30
2024-04,REG,30,30
2024-05,,31,31
2024-05,EC,31,31
2024-05,EN,31,31
2024-05,EXP,14,31
2024-05,IC,31,31
2024-05,ICN,31,31
2024-05,IR,5,31
2024-05,MET,31,31
2024-05,NCL,9,31
2024-05,REG,31,31
2024-06,,30,30
2024-06,EC,30,30
2024-06,EN,30,30
2024-06,EXP,13,30
2024-06,IC,30,30
2024-06,ICN,30,30
2024-06,IR,1,30
2024-06,MET,30,30
2024-06,NCL,12,30
2024-06,REG,30,30
2024-07,,31,31
2024-07,DIR,2,31
2024-07,EC,31,31
2024-07,EN,31,31
2024-07,EXP,16,31
2024-07,IC,31,31
2024-07,ICN,31,31
2024-07,IR,4,31
2024-07,MET,31,31
2024-07,NCL,8,31
2024-07,REG,31,31
2024-08,,31,31
2024-08,DIR,1,31
2024-08,EC,31,31
2024-08,EN,31,31
2024-08,EXP,24,31
2024-08,IC,31,31
2024-08,ICN,31,31
2024-08,IR,6,31
2024-08,MET,31,31
2024-08,NCL,7,31
2024-08,REG,31,31
2024-09,,30,30
2024-09,EC,30,30
2024-09,EN,28,30
2024-09,EXP,18,30
2024-09,IC,30,30
2024-09,ICN,30,30
2024-09,IR,4,30
2024-09,MET,30,30
2024-09,NCL,10,30
2024-09,REG,30,30
2024-10,,31,31
2024-10,DIR,1,31
2024-10,EC,31,31
2024-10,EN,31,31
2024-10,EXP,20,31
2024-10,IC,31,31
2024-10,ICN,31,31
2024-10,IR,1,31
2024-10,MET,31,31
2024-10,NCL,9,31
2024-10,REG,31,31
2024-11,,30,30
2024-11,DIR,1,30
2024-11,EC,30,30
2024-11,EN,30,30
2024-11,EXP,15,30
2024-11,IC,30,30
2024-11,ICN,30,30
2024-11,IR,5,30
2024-11,MET,30,30
2024-11,NCL,5,30
2024-11,REG,30,30
2024-12,,30,31
2024-12,EC,30,31
2024-12,EN,29,31
2024-12,EXP,7,31
2024-12,IC,30,31
2024-12,ICN,30,31
2024-12,IR,3,31
2024-12,MET,31,31
2024-12,NCL,8,31
2024-12,REG,31,31
2025-01,,31,31
2025-01,EC,31,31
2025-01,EN,31,31
2025-01,EXP,3,31
2025-01,IC,31,31
2025-01,ICN,31,31
2025-01,IR,2,31
2025-01,MET,31,31
2025-01,NCL,9,31
2025-01,REG,31,31
2025-02,,28,28
2025-02,DIR,1,28
2025-02,EC,28,28
2025-02,EN,28,28
2025-02,EXP,2,28
2025-02,IC,28,28
2025-02,ICN,28,28
2025-02,IR,4,28
2025-02,MET,28,28
2025-02,NCL,11,28
2025-02,REG,28,28
2025-03,,31,31
2025-03,EC,31,31
2025-03,EN,31,31
2025-03,EXP,19,31
2025-03,IC,31,31
2025-03,ICN,31,31
2025-03,IR,2,31
2025-03,MET,31,31
2025-03,NCL,19,31
2025-03,REG,31,31
2025-04,,30,30
2025-04,EC,30,30
2025-04,EN,30,30
2025-04,EXP,18,30
2025-04,IC,30,30
2025-04,ICN,30,30
2025-04,IR,3,30
2025-04,MET,30,30
2025-04,NCL,8,30
2025-04,REG,30,30
2025-05,,31,31
2025-05,DIR,1,31
2025-05,EC,31,31
2025-05,EN,31,31
2025-05,EXP,22,31
2025-05,IC,31,31
2025-05,ICN,31,31
2025-05,IR,3,31
2025-05,MET,31,31
2025-05,NCL,18,31
2025-05,REG,31,31
2025-06,,30,30
2025-06,EC,30,30
2025-06,EN,30,30
2025-06,EXP,16,30
2025-06,IC,30,30
2025-06,ICN,30,30
2025-06,IR,8,30
2025-06,MET,30,30
2025-06,NCL,6,30
2025-06,REG,30,30
2025-07,,31,31
2025-07,DIR,2,31
2025-07,EC,31,31
2025-07,EN,31,31
2025-07,EXP,25,31
2025-07,IC,31,31
2025-07,ICN,31,31
2025-07,IR,7,31
2025-07,MET,31,31
2025-07,NCL,7,31
2025-07,REG,31,31
2025-08,,31,31
2025-08,EC,31,31
2025-08,EN,31,31
2025-08,EXP,21,31
2025-08,IC,31,31
2025-08,ICN,31,31
2025-08,IR,1,31
2025-08,MET,31,31
2025-08,NCL,9,31
2025-08,REG,31,31
2025-09,,30,30
2025-09,DIR,1,30
2025-09,EC,30,30
2025-09,EN,29,30
2025-09,EXP,25,30
2025-09,IC,30,30
2025-09,ICN,30,30
2025-09,IR,5,30
2025-09,MET,30,30
2025-09,NCL,9,30
2025-09,REG,30,30
2025-10,,31,31
2025-10,DIR,1,31
2025-10,EC,31,31
2025-10,EN,26,31
2025-10,EXP,23,31
2025-10,IC,31,31
2025-10,ICN,31,31
2025-10,IR,4,31
2025-10,MET,31,31
2025-10,NCL,15,31
2025-10,REG,31,31
2025-11,,30,30
2025-11,EC,30,30
2025-11,EN,27,30
2025-11,EXP,21,30
2025-11,IC,30,30
2025-11,ICN,30,30
2025-11,IR,6,30
2025-11,MET,30,30
2025-11,NCL,29,30
2025-11,REG,30,30
2025-12,,31,31
2025-12,DIR,1,31
2025-12,EC,31,31
2025-12,EN,31,31
2025-12,EXP,17,31
2025-12,IC,31,31
2025-12,ICN,31,31
2025-12,IR,4,31
2025-12,MET,31,31
2025-12,NCL,10,31
2025-12,REG,31,31
2026-01,,31,31
2026-01,DIR,1,31
2026-01,EC,31,31
2026-01,EN,31,31
2026-01,EXP,9,31
2026-01,IC,31,31
2026-01,ICN,31,31
2026-01,MET,31,31
2026-01,NCL,10,31
2026-01,REG,31,31
2026-02,,28,28
2026-02,EC,28,28
2026-02,EN,28,28
2026-02,EXP,13,28
2026-02,IC,28,28
2026-02,ICN,28,28
2026-02,IR,2,28
2026-02,MET,28,28
2026-02,NCL,27,28
2026-02,REG,28,28
2026-03,,31,31
2026-03,EC,31,31
2026-03,EN,31,31
2026-03,EXP,15,31
2026-03,IC,31,31
2026-03,ICN,31,31
2026-03,IR,2,31
2026-03,MET,31,31
2026-03,NCL,14,31
2026-03,REG,31,31
2026-04,,30,30
2026-04,DIR,1,30
2026-04,EC,30,30
2026-04,EN,30,30
2026-04,EXP,17,30
2026-04,IC,30,30
2026-04,ICN,30,30
2026-04,IR,5,30
2026-04,MET,30,30
2026-04,NCL,17,30
2026-04,REG,30,30
2026-05,,31,31
2026-05,EC,31,31
2026-05,EN,31,31
2026-05,EXP,27,31
2026-05,IC,31,31
2026-05,ICN,31,31
2026-05,IR,3,31
2026-05,MET,31,31
2026-05,NCL,5,31
2026-05,REG,31,31
2026-06,,29,30
2026-06,,1,30
2026-06,EC,30,30
2026-06,ECFR,1,30
2026-06,EN,30,30
2026-06,EXP,24,30
2026-06,FA,1,30
2026-06,FB,1,30
2026-06,FR,1,30
2026-06,IC,30,30
2026-06,ICN,30,30
2026-06,IR,4,30
2026-06,MET,30,30
2026-06,NCL,7,30
2026-06,REG,30,30
2026-07,,29,29
2026-07,DIR,1,29
2026-07,EC,29,29
2026-07,ECFR,5,29
2026-07,EN,23,29
2026-07,EXP,21,29
2026-07,FA,5,29
2026-07,FB,5,29
2026-07,FR,5,29
2026-07,IC,29,29
2026-07,ICN,29,29
2026-07,IR,3,29
2026-07,MET,29,29
2026-07,NCL,15,29
2026-07,REG,29,29
